POINT_ID,Latitude,Longitude,Survey_Date,Extraction_Time,Pipeline_Version,Sentinel_Product,Source_Dataset,sentinel_ok,Sentinel_Tile_ID,S2_PRODUCT_ID,NDVI,EVI,SAVI,MSAVI,GNDVI,NDMI,NDWI,BSI,NDRE,CIre,Brightness,ClayIndex,CRS
47982688,47.1232602,16.28969291,02-06-18,2026-07-17T14:56:15.808762,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.5552483201026917,0.5052198171615601,0.3759305477142334,0.3572410941123962,0.5096848011016846,0.2089058011770248,-0.5096848011016846,-0.1592849791049957,0.419217973947525,1.5000371932983398,0.2375558316707611,1.5380536317825315,EPSG:32633
47862690,47.15023795,16.13421178,06-07-18,2026-07-17T14:56:15.807696,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.8166903853416443,0.4954379200935364,0.4529848098754883,0.4443036913871765,0.7344585657119751,0.3609371185302734,-0.7344585657119751,-0.3241985440254211,0.6233054399490356,3.566861391067505,0.1952128261327743,2.1349775791168213,EPSG:32633
47882704,47.27427248,16.17535859,06-07-18,2026-07-17T14:56:15.808245,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.710037887096405,0.4731424450874328,0.4145967364311218,0.397204577922821,0.6472913026809692,0.3054881393909454,-0.6472913026809692,-0.2512060701847076,0.526315450668335,2.4301443099975586,0.2000981569290161,1.85992169380188,EPSG:32633
48022702,47.24569335,16.35750603,06-07-18,2026-07-17T14:56:15.809121,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.5822440981864929,0.369749367237091,0.3399316668510437,0.3285468220710754,0.5910937190055847,0.1635236293077469,-0.5910937190055847,-0.1208771914243698,0.4435060620307922,2.439349889755249,0.1949332654476165,1.823717474937439,EPSG:32633
48202738,47.5541021,16.63555874,18-06-18,2026-07-17T14:56:17.619675,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.3717864155769348,0.2583849430084228,0.2509003281593323,0.2327445298433303,0.462159126996994,0.0365521647036075,-0.462159126996994,0.0416198074817657,0.2364742010831833,0.6970095634460449,0.2228036820888519,1.5084397792816162,EPSG:32633
48222780,47.92869563,16.71115772,21-05-18,2026-07-17T14:56:17.620146,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.4745502471923828,0.3220904469490051,0.3162143528461456,0.2963170707225799,0.51308274269104,0.0607336722314357,-0.51308274269104,0.0149413086473941,0.3076905906200409,0.9314643144607544,0.2230084240436554,1.4016315937042236,EPSG:32633
48122730,47.48881664,16.52059488,18-06-18,2026-07-17T14:56:17.619405,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.6230007410049438,0.4304362535476684,0.3966816067695617,0.379046231508255,0.5986402630805969,0.2217824310064315,-0.5986402630805969,-0.151631161570549,0.4252809584140777,1.539520263671875,0.2195768505334854,1.5812742710113523,EPSG:32633
48062708,47.29637182,16.41678159,05-07-18,2026-07-17T14:56:17.619253,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.8052794337272644,0.498151957988739,0.4546808898448944,0.4406739175319671,0.7211738228797913,0.3430449068546295,-0.7211738228797913,-0.3019553124904632,0.5912481546401978,2.9592125415802,0.1950286328792572,2.112905740737915,EPSG:32633
48342774,47.86505893,16.8638522,26-06-18,2026-07-17T14:56:17.760161,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.4115869104862213,0.1972133070230484,0.2027215957641601,0.1724547296762466,0.4741711616516113,-0.1177128851413726,-0.4741711616516113,0.1462989598512649,0.2557404339313507,0.7017914056777954,0.1319264471530914,1.3207186460494995,EPSG:32633
48442784,47.94615773,17.00926007,11-06-18,2026-07-17T14:56:17.760365,1.0.0,sentinel-2-l2a,Sentinel-2 L2A,1.0,cached,cached,0.709446132183075,0.4689201116561889,0.4379900395870209,0.4280613362789154,0.6467332243919373,0.2145694494247436,-0.6467332243919373,-0.1607908755540847,0.5041396021842957,2.3373050689697266,0.2159262150526046,1.8013721704483032,EPSG:32633
